dataItem,description,isInDataAPICommodity,isInDataAPIServices,isInBulkFileFinal,isInBulkFileTariffline
"datasetCode","Combination of several keys to identify specific datasetCode","True","True","True","True",
"typeCode","Product type: Goods or Services","True","True","True","True",
"freqCode","The time interval at which observations occur","True","True","True","True",
"refPeriodId","The period of time to which the measured observation is intended to refer","True","True","True","True",
"refYear","Year of observation","True","True","True","False",
"refMonth","Month of observation. For annual, it would bet set to 52","True","True","True","False",
"period","Combination of year and month (for monthly), year for (annual)","True","True","True","True",
"reporterCode","The country or geographic area to which the measured statistical phenomenon relates","True","True","True","True",
"reporterISO","ISO 3 code of reporter","True","True","False","False",
"reporterDesc","Description of reporter","True","True","False","False",
"flowCategory","Simplified trade flow: exports or imports","False","False","False","True",
"flowCode","Trade flow or sub-flow (exports, re-exports, imports, re-imports, etc.)","True","True","True","True",
"flowDesc","Description of trade flows","True","True","False","False",
"partnerCode","The primary partner country or geographic area for the respective trade flow","True","True","True","True",
"partnerISO","ISO 3 code of 1st partner","True","True","False","False",
"partnerDesc","Description of 1st partner","True","True","False","False",
"partner2Code","A secondary partner country or geographic area for the respective trade flow","True","False","True","True",
"partner2ISO","ISO 3 code of 2nd partner","True","False","False","False",
"partner2Desc","Description of 2nd partner","True","False","False","False",
"classificationSearchCode","Additional product classification to assist data search","True","True","True","False",
"classificationCode","Indicates the product classification used and which version (HS, SITC)","True","True","True","True",
"isOriginalClassification","Flag to indicate whether the classification is reported by country or not","True","True","True","False",
"cmdCode","Product code in conjunction with classification code","True","True","True","True",
"cmdDesc","Description of commodity /service category","True","True","False","False",
"aggrLevel","Hierarchical level of commodity/service category","True","True","False","False",
"isLeaf","Identification whether a product code has the most basic level (i.e.,sub-heading for HS)","True","True","False","False",
"customsCode","Customs or statistical procedure","True","False","True","True",
"customsDesc","Description of customs procedure","True","False","False","False",
"mosCode","The mode of supply on delivery of services (trade in services only)","False","True","True","True",
"mosDesc","Description of mode of supply (trade in services only)","False","True","False","False",
"motCode","The mode of transport used when goods enter or leave the economic territory of a country","True","False","True","True",
"motDesc","Description of mode of transport","True","False","False","False",
"qtyUnitCode","Unit of primary quantity","True","False","True","True",
"qtyUnitAbbr","Abbreviation of primary quantity unit","True","False","False","False",
"qty","Value of primary quantity","True","False","True","True",
"isQtyEstimated","Flag whether primary quantity is estimated or not","True","False","True","False",
"altQtyUnitCode","Unit of secondary quantity","True","False","True","True",
"altQtyUnitAbbr","Abbreviation of secondary quantity unit","True","False","False","False",
"altQty","Value of secondary quantity","True","False","True","True",
"isAltQtyEstimated","Flag whether secondary quantity is estimated or not","True","False","True","False",
"netWgt","Net weight","True","False","True","True",
"isnetWgtEstimated","Flag whether net weight is estimated or not","True","False","True","False",
"grossWgt","Gross weight","True","False","True","True",
"isgrossWgtEstimated","Flag whether gross weight is estimated or not","True","False","True","False",
"cifValue","Trade values in CIF","True","False","True","True",
"fobValue","Trade values in FOB","True","False","True","True",
"primaryValue","Primary trade values (taken from CIF or FOB values)","True","True","True","True",
"legacyEstimationFlag","Legacy quantity estimation flag","True","False","True","False",
"isReported","Flag to indicate whether a record is reported by country","True","True","True","False",
"isAggregate","Flag to indicate whether a record is aggregated by UNSD","True","True","True","False",
